,date,PM2.5 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3)
0,2016-09-01,,,20.283846153846152,9.785384615384615,0.6223076923076923,
1,2016-09-02,,,22.090555555555554,11.266666666666667,1.0344444444444445,
2,2016-09-03,,,21.756363636363634,9.241428571428571,0.8285714285714285,
3,2016-09-04,,,18.7975,8.6875,0.8542857142857143,
4,2016-09-05,,,20.115454545454543,8.905,0.763,
5,2016-09-06,,,20.37125,10.0025,1.0166666666666666,
6,2016-09-07,,,20.380555555555556,7.282777777777778,0.9031578947368422,
7,2016-09-08,,,32.70809523809524,6.481999999999999,1.1328571428571428,
8,2016-09-09,,,22.02235294117647,10.352941176470589,0.7958823529411765,
9,2016-09-10,,,22.154545454545453,10.44090909090909,0.9940909090909091,
10,2016-09-11,,,20.55666666666667,10.131666666666666,0.82,
11,2016-09-12,,,20.564,10.42,0.6088888888888889,
12,2016-09-13,,,20.107,9.981,0.821904761904762,
13,2016-09-14,,,31.475454545454546,12.319047619047618,0.8754545454545455,
14,2016-09-15,,,34.60411764705882,10.42875,0.6888235294117647,
15,2016-09-16,,,20.34,10.042727272727273,0.8118181818181818,
16,2016-09-17,,,,,,
17,2016-09-18,,,,,,
18,2016-09-19,,,,,,
19,2016-09-20,,61.23538461538461,15.120000000000001,,1.033076923076923,10.053846153846154
20,2016-09-21,,41.606249999999996,15.23375,,0.87125,6.309166666666666
21,2016-09-22,,33.038947368421056,15.181999999999999,,0.866,10.646
22,2016-09-23,,,,,,
23,2016-09-24,,,,,,
24,2016-09-25,,,,,,
25,2016-09-26,,58.90857142857143,14.054285714285713,,0.732857142857143,13.95857142857143
26,2016-09-27,,,,,,
27,2016-09-28,,43.422,13.811666666666667,,0.5740000000000001,18.968
28,2016-09-29,,,,,,
29,2016-09-30,,74.65333333333334,15.071428571428571,,0.7016666666666667,16.76
30,2016-10-01,,,,,,
31,2016-10-02,,,,,,
32,2016-10-03,,38.8,13.955,,0.7,44.11
33,2016-10-04,,,,,,
34,2016-10-05,,,,,,
35,2016-10-06,,,,,,
36,2016-10-07,,,,,,
37,2016-10-08,,,,,,
38,2016-10-09,,,,,,
39,2016-10-10,,,,,,
40,2016-10-11,,,,,,
41,2016-10-12,,163.01,14.398000000000001,,1.042,38.332
42,2016-10-13,,123.0825,15.0,,0.91,50.1275
43,2016-10-14,,,,,,
44,2016-10-15,,,,,,
45,2016-10-16,,,,,,
46,2016-10-17,,,,,,
47,2016-10-18,,117.9425,16.557499999999997,,1.0866666666666667,41.146
48,2016-10-19,,,,,,
49,2016-10-20,,,,,,
50,2016-10-21,,,,,,
51,2016-10-22,,,,,,
52,2016-10-23,,,,,,
53,2016-10-24,,,,,,
54,2016-10-25,,,,,,
55,2016-10-26,,,,,,
56,2016-10-27,,,,,,
57,2016-10-28,,106.495,33.55,,1.0175,23.4825
58,2016-10-29,,,,,,
59,2016-10-30,,248.48083333333332,51.953333333333326,,1.0716666666666665,15.309166666666668
60,2016-10-31,,111.48466666666667,46.905,,1.0193750000000001,14.719375
61,2016-11-01,,108.66916666666667,49.18666666666667,,1.0525,21.31083333333333
62,2016-11-02,,105.982,71.845,,0.9790000000000001,16.726000000000003
63,2016-11-03,,188.325,50.675,,0.835,9.745000000000001
64,2016-11-04,,107.02733333333335,67.46733333333333,,0.7200000000000001,17.352666666666668
65,2016-11-05,,42.32375,25.360833333333332,,0.5253333333333333,12.585
66,2016-11-06,,91.63499999999999,43.24,,,10.556666666666667
67,2016-11-07,,171.00208333333333,65.70958333333333,,,17.20416666666667
68,2016-11-08,,230.77958333333333,121.22666666666667,,,14.854999999999999
69,2016-11-09,,272.21458333333334,101.90916666666668,,,16.71
70,2016-11-10,,284.2920833333333,82.56125,,,21.042916666666667
71,2016-11-11,,270.22166666666664,85.80166666666666,,1.1741666666666666,17.7475
72,2016-11-12,,237.19791666666666,93.56375000000001,,1.67875,19.799166666666668
73,2016-11-13,,178.49041666666668,77.05458333333333,,0.7358333333333333,18.251250000000002
74,2016-11-14,,222.63125,93.23375,,1.1925000000000001,21.305833333333336
75,2016-11-15,,226.92499999999998,88.49541666666666,,0.75625,25.8075
76,2016-11-16,,186.4053846153846,70.96461538461539,,0.6861538461538461,23.076153846153847
77,2016-11-17,,,,,,
78,2016-11-18,,,,,,
79,2016-11-19,,,,,,
80,2016-11-20,,,,,,
81,2016-11-21,,,,,,
82,2016-11-22,,253.0858333333333,159.52166666666668,,1.6466666666666665,17.833333333333332
83,2016-11-23,,340.4504166666667,180.0995652173913,,1.93,13.412916666666668
84,2016-11-24,,332.9945833333333,171.7025,,1.6979166666666667,13.317083333333334
85,2016-11-25,,364.72,153.76874999999998,,1.5730434782608695,15.34625
86,2016-11-26,,369.96208333333334,129.72541666666666,,1.6458333333333333,14.520416666666668
87,2016-11-27,,361.72208333333333,139.66333333333333,,2.0454166666666667,13.075416666666667
88,2016-11-28,,340.49391304347824,106.79375,,1.5233333333333334,10.966086956521739
89,2016-11-29,,218.835,58.46555555555556,,1.125,16.167777777777776
90,2016-11-30,,261.34208333333333,94.04708333333333,,1.9979166666666668,13.505
91,2016-12-01,,198.53458333333333,84.06166666666667,,1.10125,15.345416666666667
92,2016-12-02,,254.66272727272727,73.84409090909091,,1.66,11.480454545454545
93,2016-12-03,,233.54458333333332,50.55291666666667,,1.0191666666666668,17.982499999999998
94,2016-12-04,,260.91041666666666,51.77791666666667,,0.8841666666666667,23.670416666666668
95,2016-12-05,,270.3886956521739,48.58625,,0.9929166666666666,20.297083333333333
96,2016-12-06,,254.12833333333333,45.375,,1.1570833333333332,16.287499999999998
97,2016-12-07,,226.51304347826087,51.42458333333334,,0.8279166666666667,12.31125
98,2016-12-08,,197.92416666666668,44.765416666666674,,0.7879166666666667,14.90125
99,2016-12-09,,230.08875,43.22708333333333,,1.0020833333333334,14.331666666666665
100,2016-12-10,,243.15791666666667,46.38125,,0.8533333333333334,14.531666666666666
101,2016-12-11,,231.47375,38.18541666666667,,0.9016666666666667,18.586666666666666
102,2016-12-12,,243.49541666666667,40.196666666666665,,1.1891666666666667,17.74625
103,2016-12-13,,270.3933333333333,41.92583333333334,,1.0583333333333333,17.24
104,2016-12-14,,310.40333333333336,45.751666666666665,,1.0429166666666667,15.975833333333334
105,2016-12-15,,253.2108333333333,47.915,,1.0445833333333334,12.620833333333332
106,2016-12-16,,257.2441666666667,50.941250000000004,,1.0195833333333333,9.543333333333333
107,2016-12-17,,314.92291666666665,53.04666666666666,,1.4970833333333333,12.950000000000001
108,2016-12-18,,337.2004166666667,53.50333333333333,,1.3637500000000002,13.199583333333335
109,2016-12-19,,331.5765,35.543,,1.4935,13.959
110,2016-12-20,,108.85125,37.3375,,1.6312499999999999,11.494166666666667
111,2016-12-21,,7.51625,25.00708333333333,,1.4962499999999999,13.936250000000001
112,2016-12-22,,197.12666666666667,29.04041666666667,,1.4983333333333333,11.012083333333335
113,2016-12-23,,459.92,36.373333333333335,,1.55375,9.650416666666667
114,2016-12-24,,428.75624999999997,29.796666666666667,,1.7920833333333333,12.35875
115,2016-12-25,,513.8504166666667,23.348499999999998,,1.9349999999999998,13.207500000000001
116,2016-12-26,,444.78409090909093,30.099166666666665,,1.5708333333333335,12.978333333333333
117,2016-12-27,,309.3933333333333,35.53791666666667,,1.1041666666666667,12.789583333333333
118,2016-12-28,,327.8354166666667,32.094166666666666,,1.1075,8.11875
119,2016-12-29,,335.08666666666664,27.540833333333335,,1.1041666666666667,10.532083333333334
120,2016-12-30,,419.0179166666667,22.108235294117645,,1.8083333333333333,9.542083333333332
121,2016-12-31,,492.23928571428576,17.63,,1.56,9.404285714285715
122,2017-01-01,,,,,,
123,2017-01-02,,361.65285714285716,40.160714285714285,,1.486,20.767333333333333
124,2017-01-03,,327.4916666666667,35.71478260869566,,1.2708333333333333,10.859583333333333
125,2017-01-04,,273.9225,39.11291666666667,,1.04875,12.432083333333333
126,2017-01-05,,265.9470833333333,38.58375,,0.8170833333333333,11.014166666666666
127,2017-01-06,,266.78291666666667,40.68541666666667,,0.7325,13.572916666666666
128,2017-01-07,,263.92875,43.34125,,1.2520833333333334,12.920416666666666
129,2017-01-08,,220.60833333333335,36.623333333333335,,1.1145833333333333,15.282083333333333
130,2017-01-09,,297.89652173913043,45.68083333333333,,1.5579166666666666,18.140833333333333
131,2017-01-10,,191.07625,35.621249999999996,,0.9075000000000001,15.093333333333334
132,2017-01-11,,159.8125,39.7175,,0.6716666666666667,15.54875
133,2017-01-12,,177.55916666666667,33.639583333333334,,0.5891666666666667,19.985833333333336
134,2017-01-13,,188.53916666666666,37.48041666666666,,0.8029166666666666,23.63291666666667
135,2017-01-14,,192.74666666666667,38.055,,0.715,22.254583333333333
136,2017-01-15,,211.38958333333335,46.18291666666667,,0.8179166666666666,15.175416666666669
137,2017-01-16,,297.6483333333333,35.45166666666667,,1.705,14.102083333333333
138,2017-01-17,,314.79047619047617,41.28208333333333,,2.3841666666666668,13.71625
139,2017-01-18,,324.5713043478261,48.5575,,1.5354166666666667,14.907916666666667
140,2017-01-19,,280.8383333333333,50.70416666666667,,1.2404166666666667,20.350416666666668
141,2017-01-20,,283.9425,35.247499999999995,,1.70625,17.77125
142,2017-01-21,,269.8254166666666,44.419999999999995,,1.3875,13.513333333333334
